TIMESTAMP 0.0
# src dst bandwidth_mbps loss_rate
4 12 9.46 0.0076
4 13 5.96 0.0202
4 14 4.88 0.0283
4 15 9.31 0.005
4 16 3.96 0.0284
4 17 7.21 0.0062
4 18 3.87 0.0282
4 19 4.66 0.0091
5 6 6.96 0.0052
5 7 7.33 0.0249
5 8 8.7 0.013
5 9 9.05 0.0218
5 10 3.95 0.0277
5 11 9.28 0.0258
5 12 7.49 0.0262
5 13 5.59 0.0172
5 14 6.28 0.0284
5 15 7.68 0.0285
5 16 9.97 0.0099
5 17 6.7 0.0275
5 18 9.54 0.0175
5 19 6.11 0.0294
6 7 7.32 0.0197
6 8 5.48 0.023
6 9 7.62 0.0094
6 10 4.74 0.0087
6 11 9.85 0.0121
6 12 6.83 0.0188
6 13 2.57 0.0137
6 14 9.01 0.0237
6 15 3.47 0.0169
6 16 4.03 0.019
6 17 3.87 0.0167
6 18 8.42 0.0064
6 19 5.27 0.0147
7 8 3.32 0.0213
7 9 4.11 0.0169
7 10 6.24 0.0188
7 11 6.47 0.0294
7 12 5.07 0.0199
7 13 3.74 0.0297
7 14 2.1 0.0265
7 15 4.36 0.0146
7 16 9.22 0.0279
7 17 3.64 0.0146
7 18 6.03 0.0094
7 19 5.24 0.0009
8 9 3.96 0.028
8 10 5.08 0.0283
8 11 3.2 0.0292
8 12 5.61 0.0283
8 13 4.92 0.0006
8 14 5.91 0.0049
8 15 8.7 0.0283
8 16 5.49 0.0287
8 17 5.08 0.0143
8 18 8.8 0.0256
8 19 5.87 0.0122
9 10 8.77 0.017
9 11 9.31 0.0221
9 12 3.88 0.0249
9 13 6.21 0.0141
9 14 4.89 0.0024
9 15 7.33 0.0251
9 16 4.9 0.003
9 17 8.49 0.01
9 18 9.31 0.007
9 19 6.42 0.0008
10 11 4.9 0.0118
10 12 8.54 0.0071
10 13 7.68 0.0154
10 14 4.43 0.0214
10 15 6.19 0.0207
10 16 3.04 0.0163
10 17 5.36 0.0024
10 18 8.14 0.0042
10 19 5.17 0.0212
11 12 6.42 0.0225
11 13 4.45 0.0206
11 14 3.74 0.0269
11 15 9.69 0.0238
11 16 3.14 0.0176
11 17 2.95 0.0113
11 18 8.11 0.0191
11 19 7.89 0.0281
12 13 2.97 0.0137
12 14 3.74 0.0219
12 15 7.34 0.0279
12 16 8.52 0.0045
12 17 3.41 0.0019
12 18 6.38 0.0145
12 19 2.95 0.0087
13 14 7.03 0.0234
13 15 9.39 0.0238
13 16 4.31 0.0103
13 17 4.44 0.0245
13 18 2.16 0.0235
13 19 9.02 0.0014
14 15 2.89 0.0264
14 16 3.37 0.0118
14 17 9.5 0.0116
14 18 7.48 0.0254
14 19 5.24 0.0286
15 16 6.15 0.0099
15 17 5.55 0.0152
15 18 3.42 0.0018
15 19 6.6 0.0236
16 17 2.07 0.0185
16 18 6.5 0.0121
16 19 6.81 0.02
17 18 7.04 0.022
17 19 4.98 0.0209
18 19 8.72 0.0018
END

TIMESTAMP 5.0
# src dst bandwidth_mbps loss_rate
0 1 2.06 0.0284
0 2 8.83 0.0162
0 3 6.78 0.0279
0 4 3.75 0.0287
0 5 6.89 0.0284
0 6 9.89 0.017
0 7 8.25 0.0087
0 8 9.14 0.005
0 9 8.13 0.0227
0 10 2.71 0.0165
0 11 7.07 0.0095
0 12 3.62 0.0222
0 13 6.98 0.0224
0 14 9.64 0.0193
0 15 2.86 0.0186
0 16 9.72 0.0078
0 17 8.71 0.0053
0 18 8.96 0.0168
0 19 7.14 0.0017
1 2 6.47 0.01
1 3 6.54 0.0052
1 4 8.65 0.0249
1 5 2.13 0.0031
1 6 4.79 0.0272
1 7 3.94 0.0004
1 8 4.94 0.0195
1 9 7.02 0.015
1 10 5.07 0.0021
1 11 9.89 0.014
1 12 4.5 0.0079
1 13 9.5 0.0173
1 14 9.37 0.0114
1 15 8.67 0.0171
1 16 3.23 0.022
1 17 9.72 0.0156
1 18 2.96 0.0245
1 19 6.83 0.0223
2 3 2.82 0.0172
2 4 9.8 0.0175
2 5 6.55 0.0082
2 6 3.83 0.0019
2 7 7.97 0.0097
2 8 3.55 0.0232
2 9 2.36 0.0203
2 10 7.66 0.0296
2 11 3.13 0.0274
2 12 7.24 0.008
2 13 4.11 0.0048
2 14 8.7 0.0234
2 15 5.43 0.0101
2 16 8.06 0.0226
2 17 9.89 0.0096
2 18 9.09 0.0022
2 19 4.03 0.0087
3 4 3.97 0.0028
3 5 3.33 0.0249
3 6 6.28 0.0254
3 7 9.48 0.0109
3 8 6.95 0.0137
3 9 9.51 0.0018
3 10 7.71 0.0161
3 11 5.29 0.0016
3 12 5.48 0.0127
3 13 4.44 0.0033
3 14 6.12 0.0276
3 15 4.37 0.0275
3 16 8.67 0.0035
3 17 7.25 0.0258
3 18 4.81 0.0197
3 19 4.02 0.0226
4 5 6.07 0.0024
4 6 6.88 0.0042
4 7 8.4 0.0177
4 8 9.25 0.0039
4 9 7.98 0.0095
4 10 4.55 0.008
4 11 7.33 0.0213
4 12 7.19 0.0029
4 13 5.77 0.0163
4 14 2.57 0.0146
4 15 9.16 0.0188
4 16 4.21 0.0039
4 17 2.38 0.02
4 18 9.0 0.0148
4 19 6.92 0.0093
5 6 2.35 0.0144
5 7 6.83 0.0121
5 8 9.39 0.025
5 9 7.26 0.0045
5 10 3.58 0.0279
5 11 2.68 0.0109
5 12 5.02 0.0275
5 13 6.02 0.0163
5 14 3.59 0.0085
5 15 9.64 0.009
5 16 7.58 0.0014
5 17 2.86 0.0215
5 18 2.41 0.0003
5 19 6.22 0.0176
6 7 6.01 0.0062
6 8 8.11 0.0159
6 9 6.56 0.0285
6 10 3.31 0.0076
6 11 6.08 0.0086
6 12 3.62 0.0263
6 13 2.4 0.0196
6 14 9.88 0.0145
6 15 9.5 0.0178
6 16 4.82 0.0126
6 17 2.0 0.0096
6 18 9.48 0.0079
6 19 8.41 0.0059
7 8 4.68 0.0054
7 9 4.42 0.0037
7 10 8.15 0.0295
7 11 7.25 0.0131
7 12 6.47 0.006
7 13 8.26 0.0273
7 14 3.15 0.0057
7 15 5.61 0.0128
7 16 4.85 0.0072
7 17 2.14 0.0099
7 18 6.53 0.0178
7 19 2.99 0.0031
8 9 3.14 0.0233
8 10 2.77 0.0298
8 11 7.41 0.0098
8 12 4.32 0.0212
8 13 2.71 0.0165
8 14 8.68 0.0217
8 15 5.6 0.0034
8 16 5.69 0.0087
8 17 7.6 0.0106
8 18 5.81 0.0177
8 19 2.84 0.0014
9 10 2.48 0.0051
9 11 7.89 0.0129
9 12 9.05 0.0237
9 13 7.85 0.0071
9 14 8.17 0.0022
9 15 5.05 0.0266
9 16 6.37 0.0283
9 17 3.94 0.0036
9 18 7.44 0.0201
9 19 5.42 0.0129
10 11 2.54 0.0029
10 12 7.97 0.0125
10 13 7.44 0.0156
10 14 8.72 0.008
10 15 4.65 0.0211
10 16 6.98 0.0139
10 17 2.83 0.016
10 18 7.37 0.0171
10 19 7.95 0.0104
11 12 8.87 0.0021
11 13 3.28 0.0061
11 14 7.02 0.0049
11 15 9.59 0.0033
11 16 9.15 0.0223
11 17 6.56 0.025
11 18 9.85 0.0273
11 19 2.57 0.0156
12 13 4.41 0.0267
12 14 4.77 0.0026
12 15 5.18 0.0222
12 16 6.4 0.0182
12 17 9.89 0.0236
12 18 7.29 0.0165
12 19 2.71 0.007
13 14 8.99 0.0035
13 15 4.28 0.0054
13 16 5.06 0.02
13 17 5.24 0.0179
13 18 8.41 0.0005
13 19 8.59 0.0067
14 15 4.32 0.0236
14 16 4.1 0.0288
14 17 4.27 0.0207
14 18 7.92 0.0219
14 19 4.26 0.0001
15 16 5.99 0.016
15 17 6.11 0.0295
15 18 2.64 0.018
15 19 6.46 0.0139
16 17 9.61 0.0045
16 18 2.3 0.0177
16 19 4.46 0.0243
17 18 9.17 0.0197
17 19 4.08 0.0026
18 19 4.34 0.0116
END

TIMESTAMP 10.0
# src dst bandwidth_mbps loss_rate
0 1 8.64 0.017
0 2 4.53 0.0122
0 3 6.62 0.0258
0 4 5.65 0.0053
0 5 2.05 0.0296
0 6 6.69 0.0242
0 7 7.32 0.005
0 8 4.96 0.0168
0 9 6.06 0.0089
0 10 5.22 0.0278
0 11 4.85 0.0165
0 12 9.65 0.0028
0 13 7.06 0.0221
0 14 7.86 0.0065
0 15 5.35 0.03
0 16 4.28 0.0085
0 17 4.09 0.0012
0 18 6.62 0.0066
0 19 6.88 0.0248
1 2 4.78 0.0214
1 3 2.98 0.0229
1 4 4.85 0.0246
1 5 3.93 0.0273
1 6 9.74 0.028
1 7 4.79 0.0194
1 8 6.61 0.0108
1 9 6.16 0.0043
1 10 6.08 0.0014
1 11 2.13 0.0241
1 12 2.28 0.0234
1 13 8.94 0.023
1 14 2.42 0.0141
1 15 7.01 0.0192
1 16 2.6 0.0178
1 17 3.88 0.0133
1 18 5.91 0.0001
1 19 2.07 0.0004
2 3 4.01 0.0023
2 4 9.83 0.0023
2 5 6.31 0.027
2 6 3.34 0.0016
2 7 2.06 0.0281
2 8 2.97 0.0081
2 9 4.82 0.0273
2 10 4.42 0.0068
2 11 8.77 0.0286
2 12 6.9 0.0203
2 13 6.47 0.0241
2 14 4.74 0.0048
2 15 8.57 0.0237
2 16 4.11 0.0097
2 17 2.47 0.0223
2 18 2.24 0.0178
2 19 5.41 0.0209
3 4 6.52 0.0148
3 5 3.45 0.0288
3 6 4.39 0.0184
3 7 9.4 0.0099
3 8 9.25 0.0141
3 9 4.55 0.0077
3 10 9.38 0.0277
3 11 9.97 0.0176
3 12 2.53 0.0178
3 13 5.81 0.0298
3 14 4.23 0.0112
3 15 9.44 0.002
3 16 7.59 0.0066
3 17 7.26 0.0128
3 18 8.11 0.0285
3 19 4.67 0.0078
4 5 2.65 0.0202
4 6 9.93 0.004
4 7 6.21 0.0027
4 8 6.93 0.002
4 9 5.68 0.0174
4 10 8.75 0.016
4 11 9.66 0.0005
4 12 2.7 0.0019
4 13 8.12 0.0043
4 14 6.04 0.023
4 15 4.78 0.0138
4 16 9.32 0.007
4 17 7.49 0.0271
4 18 4.46 0.0205
4 19 2.16 0.0018
5 6 2.43 0.0212
5 7 3.15 0.0255
5 8 6.85 0.0094
5 9 6.01 0.001
5 10 4.87 0.0142
5 11 4.45 0.005
5 12 3.95 0.023
5 13 2.14 0.0159
5 14 5.78 0.0238
5 15 9.82 0.0158
5 16 8.39 0.0271
5 17 2.3 0.009
5 18 7.0 0.0235
5 19 3.74 0.0121
6 7 3.16 0.0282
6 8 4.26 0.0011
6 9 3.91 0.0003
6 10 4.32 0.0132
6 11 6.75 0.0105
6 12 5.98 0.03
6 13 3.85 0.0254
6 14 7.87 0.0092
6 15 8.49 0.0226
6 16 2.76 0.0225
6 17 4.97 0.0198
6 18 9.67 0.0206
6 19 4.88 0.0172
7 8 7.91 0.001
7 9 8.51 0.0277
7 10 8.55 0.0183
7 11 4.02 0.0242
7 12 2.81 0.0118
7 13 3.81 0.0153
7 14 6.38 0.0282
7 15 5.95 0.0166
7 16 7.72 0.0119
7 17 5.14 0.0086
7 18 4.13 0.0167
7 19 2.49 0.0076
8 9 2.72 0.028
8 10 4.54 0.001
8 11 9.99 0.0013
8 12 5.78 0.026
8 13 4.06 0.0131
8 14 8.17 0.0299
8 15 6.71 0.0198
8 16 7.35 0.0218
8 17 4.51 0.0185
8 18 5.26 0.0043
8 19 8.25 0.0259
9 10 3.79 0.0171
9 11 9.3 0.0244
9 12 7.46 0.0224
9 13 5.62 0.0245
9 14 4.56 0.0194
9 15 7.66 0.009
9 16 3.94 0.0276
9 17 7.31 0.0277
9 18 7.43 0.0107
9 19 8.54 0.0149
10 11 5.86 0.0279
10 12 9.65 0.0191
10 13 6.45 0.0101
10 14 4.03 0.0102
10 15 2.49 0.0271
10 16 2.85 0.0069
10 17 7.62 0.024
10 18 3.34 0.012
10 19 7.43 0.0068
11 12 7.6 0.0214
11 13 9.38 0.0276
11 14 7.4 0.0294
11 15 3.66 0.0272
11 16 5.58 0.0191
11 17 8.88 0.0185
11 18 8.68 0.025
11 19 7.74 0.0257
12 13 8.29 0.014
12 14 2.7 0.0285
12 15 5.63 0.0109
12 16 3.36 0.0057
12 17 6.12 0.0127
12 18 7.55 0.0119
12 19 3.51 0.0064
13 14 4.93 0.0001
13 15 3.99 0.0208
13 16 7.04 0.0007
13 17 4.99 0.0286
13 18 9.52 0.026
13 19 6.07 0.0207
14 15 8.83 0.0249
14 16 4.19 0.0064
14 17 5.81 0.0231
14 18 4.69 0.0164
14 19 6.3 0.0147
15 16 9.45 0.0219
15 17 8.6 0.0266
15 18 3.27 0.0157
15 19 4.43 0.0293
16 17 8.95 0.0196
16 18 9.57 0.0253
16 19 6.98 0.0269
17 18 6.73 0.0203
17 19 4.78 0.0003
18 19 5.45 0.013
END

TIMESTAMP 15.0
# src dst bandwidth_mbps loss_rate
0 1 4.87 0.0147
0 2 7.17 0.0087
0 3 4.14 0.0023
0 4 2.55 0.008
0 5 5.02 0.0269
0 6 4.15 0.0249
0 7 3.56 0.0053
0 8 8.27 0.0153
0 9 2.71 0.0052
0 10 2.63 0.0265
0 11 6.58 0.0127
0 12 9.96 0.0114
0 13 9.51 0.0224
0 14 8.63 0.0024
0 15 6.56 0.0081
0 16 3.42 0.0288
0 17 4.26 0.0292
0 18 2.87 0.0295
0 19 4.75 0.0007
1 2 3.83 0.0064
1 3 7.69 0.0055
1 4 2.73 0.0193
1 5 8.08 0.0104
1 6 4.25 0.0242
1 7 2.5 0.018
1 8 6.55 0.0209
1 9 3.2 0.0158
1 10 2.63 0.0144
1 11 5.69 0.0
1 12 7.28 0.0169
1 13 7.65 0.0142
1 14 9.48 0.011
1 15 9.63 0.0172
1 16 5.5 0.0048
1 17 7.57 0.0024
1 18 3.58 0.0135
1 19 6.09 0.0215
2 3 3.75 0.0246
2 4 5.83 0.0183
2 5 5.88 0.005
2 6 2.53 0.0063
2 7 3.33 0.0182
2 8 6.98 0.0064
2 9 2.65 0.0278
2 10 8.84 0.0273
2 11 5.87 0.0155
2 12 3.11 0.0003
2 13 6.91 0.0244
2 14 3.28 0.0042
2 15 8.7 0.0077
2 16 4.99 0.0101
2 17 4.81 0.0216
2 18 4.42 0.0097
2 19 2.39 0.0298
3 4 2.97 0.0188
3 5 5.88 0.0157
3 6 7.34 0.0143
3 7 2.47 0.0231
3 8 6.39 0.019
3 9 7.21 0.0006
3 10 3.6 0.0008
3 11 6.14 0.0244
3 12 7.91 0.0028
3 13 7.42 0.0161
3 14 7.56 0.0133
3 15 4.27 0.0004
3 16 6.92 0.0287
3 17 8.63 0.0081
3 18 2.41 0.0142
3 19 5.66 0.0005
4 5 8.28 0.0147
4 6 7.94 0.0051
4 7 5.23 0.0208
4 8 5.48 0.0148
4 9 4.3 0.0059
4 10 4.18 0.0013
4 11 6.64 0.0106
4 12 2.4 0.029
4 13 6.37 0.0235
4 14 4.4 0.0054
4 15 7.81 0.0143
4 16 6.18 0.0187
4 17 8.01 0.0248
4 18 6.02 0.01
4 19 8.17 0.0279
5 6 4.31 0.0036
5 7 3.87 0.0175
5 8 4.01 0.0021
5 9 6.86 0.0272
5 10 5.91 0.0081
5 11 9.64 0.0044
5 12 7.12 0.0025
5 13 8.71 0.0237
5 14 2.81 0.0006
5 15 2.69 0.023
5 16 9.81 0.004
5 17 2.5 0.0023
5 18 7.19 0.0238
5 19 5.49 0.0005
6 7 4.44 0.0214
6 8 6.79 0.0112
6 9 4.21 0.0276
6 10 3.34 0.0281
6 11 9.57 0.0033
6 12 8.26 0.0005
6 13 2.57 0.0283
6 14 7.29 0.0203
6 15 8.57 0.0201
6 16 7.24 0.0027
6 17 8.1 0.0131
6 18 8.04 0.0256
6 19 8.68 0.0183
7 8 6.61 0.0069
7 9 6.57 0.0194
7 10 5.93 0.0295
7 11 3.39 0.0213
7 12 8.8 0.0289
7 13 6.82 0.0293
7 14 9.75 0.0042
7 15 5.46 0.0023
7 16 6.84 0.0286
7 17 2.7 0.0019
7 18 4.81 0.0172
7 19 9.3 0.0282
8 9 3.27 0.0099
8 10 4.18 0.0265
8 11 5.13 0.0201
8 12 6.13 0.0061
8 13 9.13 0.0287
8 14 7.26 0.0014
8 15 3.28 0.0024
8 16 8.88 0.0129
8 17 4.78 0.0114
8 18 8.52 0.0238
8 19 7.58 0.002
9 10 5.53 0.0063
9 11 7.91 0.0182
9 12 6.15 0.0201
9 13 6.37 0.0136
9 14 9.53 0.0255
9 15 3.62 0.0002
9 16 2.55 0.009
9 17 5.19 0.0087
9 18 3.47 0.0167
9 19 5.25 0.0156
10 11 7.77 0.0238
10 12 8.64 0.0124
10 13 4.92 0.0291
10 14 8.64 0.0257
10 15 2.92 0.004
10 16 4.8 0.0294
10 17 3.14 0.0007
10 18 9.94 0.0129
10 19 7.96 0.0094
11 12 4.25 0.0284
11 13 9.24 0.0148
11 14 6.23 0.0203
11 15 2.66 0.0261
11 16 2.82 0.0082
11 17 7.51 0.0075
11 18 2.89 0.0159
11 19 4.86 0.0294
12 13 3.12 0.0047
12 14 8.4 0.0272
12 15 6.08 0.0098
12 16 5.51 0.0276
12 17 9.7 0.0132
12 18 8.49 0.0103
12 19 8.84 0.0091
13 14 8.77 0.0
13 15 5.74 0.0172
13 16 6.34 0.0281
13 17 4.05 0.0062
13 18 4.8 0.0016
13 19 6.01 0.0122
14 15 9.03 0.0045
14 16 7.59 0.0082
14 17 4.46 0.0166
14 18 9.44 0.0001
14 19 6.3 0.0069
15 16 4.78 0.0062
15 17 3.37 0.0183
15 18 4.17 0.0078
15 19 5.25 0.0178
16 17 2.69 0.005
16 18 4.09 0.0102
16 19 8.55 0.0044
17 18 8.96 0.0087
17 19 3.12 0.0224
18 19 3.18 0.0113
END

TIMESTAMP 20.0
# src dst bandwidth_mbps loss_rate
0 1 3.34 0.0253
0 2 3.39 0.0217
0 3 7.25 0.0264
0 4 3.5 0.0192
0 5 4.97 0.0008
0 6 9.45 0.0284
0 7 8.12 0.0199
0 8 6.38 0.0076
0 9 6.27 0.0025
0 10 5.13 0.0249
0 11 8.83 0.0196
0 12 9.53 0.0187
0 13 2.26 0.0296
0 14 9.19 0.0282
0 15 7.01 0.0225
0 16 7.24 0.0062
0 17 5.72 0.0275
0 18 8.94 0.0058
0 19 8.1 0.0156
1 2 2.22 0.0195
1 3 4.38 0.0136
1 4 4.97 0.0119
1 5 7.85 0.0287
1 6 6.1 0.013
1 7 2.21 0.0155
1 8 7.38 0.0068
1 9 8.93 0.0201
1 10 5.73 0.0103
1 11 4.15 0.0293
1 12 4.11 0.0092
1 13 8.39 0.0091
1 14 6.36 0.0166
1 15 2.44 0.0022
1 16 4.93 0.017
1 17 9.81 0.0021
1 18 2.32 0.0116
1 19 8.87 0.0032
2 3 5.05 0.0164
2 4 6.37 0.018
2 5 3.15 0.0002
2 6 8.51 0.0051
2 7 6.44 0.0151
2 8 2.16 0.0115
2 9 3.23 0.0221
2 10 7.49 0.0119
2 11 3.97 0.0027
2 12 4.3 0.0182
2 13 7.56 0.0276
2 14 9.82 0.0208
2 15 2.62 0.0031
2 16 9.33 0.027
2 17 3.87 0.0032
2 18 4.41 0.0184
2 19 5.21 0.0209
3 4 7.29 0.0254
3 5 4.09 0.0262
3 6 2.91 0.0112
3 7 7.34 0.0212
3 8 4.37 0.0158
3 9 3.9 0.0122
3 10 3.33 0.0285
3 11 7.89 0.0156
3 12 3.43 0.021
3 13 9.79 0.0061
3 14 5.16 0.0021
3 15 6.28 0.0255
3 16 7.78 0.0242
3 17 9.5 0.0222
3 18 7.44 0.0295
3 19 5.08 0.0048
4 5 6.02 0.0021
4 6 8.65 0.0157
4 7 4.03 0.0262
4 8 9.38 0.0099
4 9 3.54 0.0169
4 10 4.8 0.0029
4 11 9.15 0.0261
4 12 8.7 0.015
4 13 9.62 0.0174
4 14 7.98 0.0259
4 15 3.42 0.0041
4 16 8.34 0.0244
4 17 9.94 0.0267
4 18 2.96 0.0283
4 19 5.28 0.0297
5 6 3.48 0.0108
5 7 9.38 0.021
5 8 9.17 0.0266
5 9 4.31 0.0223
5 10 7.82 0.0078
5 11 7.28 0.0033
5 12 8.87 0.0109
5 13 6.7 0.0077
5 14 3.06 0.0221
5 15 2.91 0.0286
5 16 3.8 0.0119
5 17 8.6 0.0192
5 18 9.94 0.0215
5 19 2.84 0.0048
6 7 9.19 0.0215
6 8 3.5 0.0126
6 9 9.36 0.0012
6 10 7.11 0.0182
6 11 6.48 0.0107
6 12 7.11 0.0061
6 13 2.53 0.0144
6 14 7.17 0.0277
6 15 4.51 0.001
6 16 5.65 0.0102
6 17 9.96 0.0096
6 18 7.06 0.0079
6 19 2.64 0.0091
7 8 7.4 0.0217
7 9 6.35 0.0048
7 10 8.6 0.0286
7 11 3.75 0.0172
7 12 4.33 0.0058
7 13 2.57 0.023
7 14 2.93 0.0064
7 15 5.6 0.0125
7 16 8.84 0.0019
7 17 6.84 0.0033
7 18 7.37 0.0161
7 19 6.42 0.0219
8 9 5.67 0.0117
8 10 5.45 0.0068
8 11 7.07 0.0181
8 12 8.4 0.0039
8 13 3.61 0.0247
8 14 9.41 0.0007
8 15 5.02 0.0177
8 16 3.55 0.0145
8 17 8.06 0.0125
8 18 5.07 0.0076
8 19 9.14 0.0025
9 10 3.65 0.0133
9 11 9.61 0.0274
9 12 8.18 0.0086
9 13 6.55 0.0004
9 14 9.0 0.0172
9 15 6.28 0.0186
9 16 9.53 0.0005
9 17 7.69 0.0298
9 18 7.78 0.0157
9 19 9.42 0.0199
10 11 3.36 0.0209
10 12 4.02 0.0235
10 13 5.36 0.0115
10 14 5.72 0.0157
10 15 5.91 0.005
10 16 9.77 0.0207
10 17 2.06 0.0006
10 18 3.9 0.0217
10 19 4.42 0.0262
11 12 3.39 0.0108
11 13 4.5 0.0014
11 14 3.76 0.0185
11 15 2.11 0.0195
11 16 8.87 0.0083
11 17 4.73 0.023
11 18 9.55 0.0109
11 19 8.17 0.0086
12 13 6.93 0.0281
12 14 2.8 0.0234
12 15 9.23 0.0176
12 16 8.95 0.0255
12 17 3.49 0.0095
12 18 8.92 0.0186
12 19 4.53 0.0057
13 14 8.04 0.0272
13 15 2.27 0.0254
13 16 7.32 0.0072
13 17 5.91 0.0018
13 18 5.01 0.0005
13 19 2.75 0.0228
14 15 2.11 0.0149
14 16 8.12 0.0199
14 17 4.22 0.0218
14 18 5.34 0.0065
14 19 3.9 0.0096
15 16 7.64 0.0226
15 17 2.12 0.0271
15 18 3.86 0.0057
15 19 7.91 0.0216
16 17 9.48 0.0245
16 18 6.84 0.0219
16 19 9.62 0.0164
17 18 3.42 0.0188
17 19 9.2 0.0178
18 19 8.48 0.0199
END

TIMESTAMP 25.0
# src dst bandwidth_mbps loss_rate
0 1 2.82 0.0226
0 2 3.29 0.0237
0 3 6.95 0.0246
0 4 8.2 0.0007
0 5 9.0 0.008
0 6 6.15 0.0278
0 7 2.71 0.0258
0 8 4.86 0.0051
0 9 5.44 0.0297
0 10 9.04 0.0121
0 11 8.9 0.0148
0 12 3.86 0.0058
0 13 8.26 0.0043
0 14 7.56 0.0124
0 15 8.1 0.0286
0 16 7.66 0.0244
0 17 8.31 0.0279
0 18 3.16 0.0037
0 19 3.79 0.008
1 2 4.44 0.0282
1 3 4.03 0.0214
1 4 3.51 0.0197
1 5 2.15 0.0113
1 6 5.98 0.0079
1 7 2.42 0.0278
1 8 4.42 0.0099
1 9 9.23 0.0051
1 10 3.56 0.0094
1 11 7.66 0.0023
1 12 5.57 0.0054
1 13 7.44 0.0219
1 14 7.44 0.0162
1 15 6.47 0.0213
1 16 5.28 0.0064
1 17 3.98 0.0204
1 18 5.67 0.0104
1 19 7.41 0.0052
2 3 6.46 0.014
2 4 9.98 0.0224
2 5 5.73 0.0044
2 6 3.94 0.0015
2 7 4.58 0.0211
2 8 2.37 0.0275
2 9 2.11 0.0118
2 10 7.54 0.0217
2 11 9.04 0.0073
2 12 7.74 0.0006
2 13 4.73 0.0083
2 14 3.91 0.0285
2 15 4.74 0.0245
2 16 3.86 0.0196
2 17 6.73 0.0118
2 18 5.19 0.0263
2 19 5.36 0.0069
3 4 7.6 0.0269
3 5 8.71 0.0277
3 6 3.7 0.016
3 7 9.78 0.0208
3 8 8.27 0.0221
3 9 7.28 0.02
3 10 4.99 0.0086
3 11 4.87 0.0215
3 12 8.97 0.0059
3 13 9.17 0.0132
3 14 7.67 0.016
3 15 8.27 0.0106
3 16 7.76 0.0099
3 17 6.47 0.0052
3 18 6.69 0.023
3 19 2.13 0.0003
4 5 8.84 0.0105
4 6 8.31 0.0072
4 7 2.36 0.0144
4 8 8.22 0.0237
4 9 6.82 0.0221
4 10 5.34 0.0081
4 11 9.3 0.0177
4 12 6.09 0.0153
4 13 6.66 0.0266
4 14 2.65 0.0234
4 15 8.8 0.0225
4 16 5.41 0.0255
4 17 8.29 0.025
4 18 5.0 0.0218
4 19 3.09 0.0234
5 6 5.4 0.0067
5 7 9.2 0.0214
5 8 4.96 0.0144
5 9 2.72 0.0062
5 10 4.58 0.0155
5 11 2.92 0.0134
5 12 3.85 0.0023
5 13 3.77 0.0006
5 14 7.93 0.0007
5 15 6.29 0.0106
5 16 4.27 0.0131
5 17 4.1 0.0135
5 18 2.86 0.0251
5 19 4.23 0.028
6 7 9.35 0.0064
6 8 6.23 0.0134
6 9 4.32 0.0205
6 10 6.85 0.0014
6 11 8.55 0.0148
6 12 5.84 0.0196
6 13 3.89 0.0276
6 14 6.84 0.0112
6 15 3.03 0.0044
6 16 3.25 0.0018
6 17 2.61 0.0086
6 18 3.84 0.0075
6 19 6.86 0.0284
7 8 4.36 0.0084
7 9 4.07 0.0181
7 10 4.61 0.0197
7 11 9.28 0.0155
